ID,price,numPhotos,floor,size,exterior,rooms,bathrooms,hasVideo,status,hasLift,priceByArea,hasPlan,has3DTour,has360,topPlus,suggestedTexts_subtitle,barrio_Chueca-Justicia,barrio_Huertas-Cortes,barrio_Lavapiés-Embajadores,barrio_Malasaña-Universidad,barrio_Palacio,barrio_Sol,tipo_flat,tipo_studio,tipo_penthouse,tipo_duplex
107378822,825000.0,22,6.0,94.0,1,2,3,0,1,1,8777.0,0,0,0,0,"Palacio, Madrid",0,0,0,0,1,0,0,0,1,0
107333763,525000.0,18,4.0,66.0,0,2,1,0,1,1,7955.0,0,0,0,0,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
107532998,179000.0,7,3.0,35.0,0,1,1,0,1,1,5114.0,0,0,0,0,"Lavapiés-Embajadores, Madrid",0,0,1,0,0,0,1,0,0,0
107558394,230000.0,9,2.0,32.0,0,2,1,0,1,0,7188.0,0,0,0,0,"Lavapiés-Embajadores, Madrid",0,0,1,0,0,0,1,0,0,0
95463609,590000.0,48,0.0,120.0,1,3,2,1,1,1,4917.0,0,0,0,0,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
107553263,789000.0,9,4.0,101.0,1,2,2,0,1,1,7812.0,0,0,0,0,"Sol, Madrid",0,0,0,0,0,1,1,0,0,0
106521462,300000.0,22,2.0,55.0,0,2,1,0,1,0,5455.0,0,0,0,0,"Lavapiés-Embajadores, Madrid",0,0,1,0,0,0,1,0,0,0
104638887,700000.0,34,1.0,135.0,1,2,2,0,1,1,5185.0,0,0,0,0,"Lavapiés-Embajadores, Madrid",0,0,1,0,0,0,1,0,0,0
105380068,248000.0,27,2.0,46.0,0,1,1,0,1,1,5391.0,0,0,0,0,"Lavapiés-Embajadores, Madrid",0,0,1,0,0,0,1,0,0,0
99840859,240000.0,18,0.0,50.0,0,1,1,0,1,0,4800.0,0,0,0,0,"Lavapiés-Embajadores, Madrid",0,0,1,0,0,0,0,0,0,1
106186508,739000.0,14,0.0,86.0,0,2,2,0,1,1,8593.0,1,0,0,0,"Sol, Madrid",0,0,0,0,0,1,1,0,0,0
107046288,333716.0,18,4.0,45.0,0,1,1,0,1,1,7416.0,0,0,0,0,"Palacio, Madrid",0,0,0,0,1,0,1,0,0,0
106677178,140000.0,24,0.0,19.0,0,1,1,0,1,1,7368.0,0,0,0,0,"Lavapiés-Embajadores, Madrid",0,0,1,0,0,0,1,0,0,0
101968219,149000.0,10,5.0,18.0,0,0,1,0,1,0,8278.0,0,0,0,0,"Lavapiés-Embajadores, Madrid",0,0,1,0,0,0,0,1,0,0
107486040,359000.0,10,1.0,51.0,0,2,1,0,0,0,7039.0,0,0,0,0,"Palacio, Madrid",0,0,0,0,1,0,1,0,0,0
104513354,270000.0,15,5.0,60.0,1,1,1,0,1,1,4500.0,0,0,0,0,"Lavapiés-Embajadores, Madrid",0,0,1,0,0,0,1,0,0,0
103947945,689000.0,24,4.0,81.0,1,3,1,0,0,1,8506.0,0,0,0,0,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
107389722,340000.0,19,0.0,55.0,0,1,1,1,1,1,6182.0,0,0,0,0,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
107526643,280000.0,12,1.0,40.0,0,0,1,0,1,1,7000.0,0,0,0,0,"Lavapiés-Embajadores, Madrid",0,0,1,0,0,0,0,1,0,0
106186917,749000.0,15,0.0,104.0,1,2,2,0,1,1,7202.0,1,0,0,0,"Sol, Madrid",0,0,0,0,0,1,1,0,0,0
