ID,terraza,numPhotos,floor,size,exterior,rooms,bathrooms,hasVideo,status,hasLift,hasPlan,has3DTour,has360,topPlus,barrio_Chueca-Justicia,barrio_Huertas-Cortes,barrio_Lavapiés-Embajadores,barrio_Malasaña-Universidad,barrio_Palacio,barrio_Sol,tipo_flat,tipo_studio,tipo_penthouse,tipo_duplex,priceLog
93273597,0,0.760855819956617,4.0,0.4261445085421608,1,0.0,0.25,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,12.834681304952548
107568284,0,0.6669305716058764,2.0,0.6721528960409396,1,0.5,0.3962406251802891,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,14.457364444136669
105170748,0,0.5982202474580609,2.0,0.3754635034142785,0,0.3962406251802891,0.25,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,12.542544882151386
107446696,0,0.7189642627730068,3.0,0.8309103335525739,1,0.3962406251802891,0.3962406251802891,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,14.498607402670718
107210019,0,0.5694092009084916,1.0,0.6894064337250215,1,0.5,0.5,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,14.038654109278484
107491368,0,0.6857043504418351,1.0,0.7629169262704024,1,0.5,0.5,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,14.444446097288925
105671659,0,0.5842952647241249,0.0,0.2850807983458873,0,0.25,0.25,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,11.982929094215963
105903180,1,0.784854123933547,5.0,0.39029563884344964,1,0.25,0.25,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,12.886641043883259
106827944,0,0.7409251356888623,1.0,0.5368806578750988,1,0.5,0.3962406251802891,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,13.710150042306449
107361281,0,0.5534194909725004,2.0,0.2850807983458873,0,0.3962406251802891,0.25,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,12.345834587905333
106000145,1,0.8723382269173212,0.0,0.7364643298321601,1,0.3962406251802891,0.5,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,13.81451005763069
107212420,0,0.8525296147015309,1.0,0.6060104663904858,1,0.3962406251802891,0.3962406251802891,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,13.681979165339751
102476882,0,0.7791001203769448,3.0,0.7364643298321601,1,0.646240625180289,0.5804820237218405,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,14.394928973195876
